Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,3380.98,безналичный,Минск,Белинвестбанк-RMWQ-620,13-05-2005,19:19:55,успешно,нет,0.0
юр. лицо,получение средств,3764.74,безналичный,Минск,БелАгропромбанк-EQOY-477,08-01-2013,23:22:57,успешно,нет,0.0
юр. лицо,получение средств,4236.26,наличный,Минск,Беларусбанк-YXHT-072,23-02-2000,21:39:06,успешно,нет,0.0
физ. лицо,списание средств,376.83,наличный,Минск,Приорбанк-ZONS-718,27-06-2017,00:27:31,неправильный ввод пин-кода,да,17.71
юр. лицо,списание средств,333.65,безналичный,Минск,Беларусбанк-LHMN-986,22-09-2019,01:35:04,недостаточно средств,да,18.16
физ. лицо,получение средств,2579.66,наличный,Минск,БелАгропромбанк-LKZF-461,18-09-2012,14:57:51,успешно,нет,0.0
юр. лицо,получение средств,1395.48,безналичный,Минск,Беларусбанк-AVVI-662,15-01-2018,10:12:19,успешно,нет,0.0
юр. лицо,получение средств,1526.73,наличный,Минск,Приорбанк-VIEC-049,09-11-2021,00:40:58,успешно,нет,0.0
юр. лицо,списание средств,2777.37,безналичный,Минск,Беларусбанк-KZCI-540,22-07-2019,11:56:13,недостаточно средств,да,184.44
физ. лицо,получение средств,3854.32,наличный,Минск,БелАгропромбанк-WEAF-158,05-02-2016,01:11:51,успешно,нет,0.0
юр. лицо,получение средств,3741.49,безналичный,Минск,Приорбанк-HGMP-569,17-09-2007,04:56:04,успешно,нет,0.0
юр. лицо,получение средств,1121.82,безналичный,Минск,БелАгропромбанк-GFUN-047,27-03-2003,12:27:16,успешно,нет,0.0
юр. лицо,списание средств,3390.91,безналичный,Минск,БелАгропромбанк-IPKK-957,11-02-2015,01:06:16,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1376.3,безналичный,Минск,Беларусбанк-IBZP-702,10-09-2006,10:52:42,недостаточно средств,да,58.62
физ. лицо,списание средств,3016.41,безналичный,Минск,Беларусбанк-WPMU-380,27-02-2016,08:56:02,успешно,да,257.44
физ. лицо,получение средств,707.44,наличный,Минск,МаксБанк-MHKS-236,25-01-2002,18:13:58,успешно,нет,0.0
юр. лицо,получение средств,1176.48,безналичный,Минск,Приорбанк-UNDK-934,25-11-2023,00:03:48,успешно,нет,0.0
юр. лицо,списание средств,1921.8,наличный,Минск,БелАгропромбанк-NMBE-343,06-12-2022,00:10:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1404.74,безналичный,Минск,Приорбанк-SJCX-300,06-10-2004,22:35:54,недостаточно средств,да,114.8
юр. лицо,списание средств,1502.69,наличный,Минск,Приорбанк-SBWS-102,04-05-2020,09:26:44,недостаточно средств,нет,0.0
юр. лицо,получение средств,1590.85,безналичный,Минск,Приорбанк-LWCI-996,11-01-2001,06:38:33,успешно,нет,0.0
юр. лицо,получение средств,808.01,наличный,Минск,БелАгропромбанк-GUSQ-842,16-02-2015,05:32:15,успешно,нет,0.0
физ. лицо,списание средств,3437.03,наличный,Минск,Белинвестбанк-CCFQ-438,07-04-2006,05:17:42,неправильный ввод пин-кода,да,271.54
юр. лицо,получение средств,1750.81,безналичный,Минск,Приорбанк-KPTC-562,20-05-2007,18:47:28,успешно,нет,0.0
юр. лицо,списание средств,2102.75,безналичный,Минск,Приорбанк-PRFL-726,24-03-2011,16:49:06,успешно,нет,0.0
юр. лицо,получение средств,1511.6,безналичный,Минск,Белинвестбанк-TUPU-620,28-03-2002,03:31:40,успешно,нет,0.0
юр. лицо,получение средств,212.03,безналичный,Минск,Беларусбанк-KZAC-838,07-04-2004,08:48:20,успешно,нет,0.0
юр. лицо,получение средств,2690.05,наличный,Минск,Белинвестбанк-BDVY-886,02-06-2010,16:11:06,успешно,нет,0.0
физ. лицо,получение средств,3755.54,безналичный,Минск,Беларусбанк-JWIL-570,04-03-2000,20:05:48,успешно,нет,0.0
физ. лицо,получение средств,913.83,безналичный,Минск,БелАгропромбанк-XBPG-828,13-05-2013,17:34:29,успешно,нет,0.0
